tf	blanco	experimento	pmids	en_corpus
LasR	PA2236	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2237	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2238	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2239	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2240	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2241	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2242	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2302	ChIP-PCR|ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2303	ChIP-PCR|ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2304	ChIP-PCR|ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2305	ChIP-PCR|ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2426	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA2587	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2588	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA2591	Beta-gal reporter assay|ChIP-chip|DNA-array expression analysis|EMSA|Site directed mutagenesis	17449616|19682264	true
LasR	PA2592	Beta-gal reporter assay|ChIP-chip|DNA-array expression analysis|EMSA|Site directed mutagenesis	17449616|19682264	true
LasR	PA2939	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA3104	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA3105	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA3326	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA3384	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA3385	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA3477	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA3478	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA3479	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA3535	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA3724	Beta-gal reporter assay|ChIP-chip|DNA-array expression analysis|EMSA|Site directed mutagenesis	8576049|19682264	true
LasR	PA3904	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA3905	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA3906	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA3907	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA3908	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA4117	ChIP-PCR|ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA4210	Beta-gal reporter assay|Site directed mutagenesis	11544214	false
LasR	PA4306	ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA4677	ChIP-chip|DNA-array expression analysis|EMSA	19682264	true
LasR	PA4778	Beta-gal reporter assay|ChIP-chip|DNA-array expression analysis|EMSA|Site directed mutagenesis	19682264|20233934	true
LasR	PA5184	ChIP-PCR|ChIP-chip|DNA-array expression analysis	19682264	true
LasR	PA5232	ChIP-chip|DNA-array expression analysis	19682264	true
LexA	PA3007	EMSA|qRT-PCR [RNA]	15458417	false
LexA	PA3008	EMSA|qRT-PCR [RNA]	15458417	false
MexT	PA2493	Beta-gal reporter assay|EMSA|Site directed mutagenesis	20727012	true
MexT	PA2494	Beta-gal reporter assay|EMSA|Site directed mutagenesis	20727012	true
MexT	PA2495	Beta-gal reporter assay|EMSA|Site directed mutagenesis	20727012	true
MexT	PA4623	Beta-gal reporter assay|DNA-array expression analysis|Site directed mutagenesis	19846594	true
MexT	PA4881	Beta-gal reporter assay|DNA-array expression analysis|EMSA|Site directed mutagenesis|qRT-PCR [RNA]	19846594	true
NarL	PA5170	2D PAGE|Beta-gal reporter assay|Northern blot|Site directed mutagenesis	18832311	false
NarL	PA5171	2D PAGE|Beta-gal reporter assay|Northern blot|Site directed mutagenesis	18832311	false
NarL	PA5172	2D PAGE|Beta-gal reporter assay|Northern blot|Site directed mutagenesis	18832311	false
NarL	PA5173	2D PAGE|Beta-gal reporter assay|Northern blot|Site directed mutagenesis	18832311	false
OhrR	PA2849	Beta-gal reporter assay|DNAse footprinting|EMSA	20139188	true
OhrR	PA2850	Beta-gal reporter assay|DNAse footprinting|EMSA|Northern blot|Site directed mutagenesis|qRT-PCR [RNA]	20139188	true
OxyR	PA0139	Beta-gal reporter assay|EMSA	10913087	true
OxyR	PA0140	Beta-gal reporter assay|EMSA	10913087	true
OxyR	PA0848	Beta-gal reporter assay|EMSA	10913087	true
OxyR	PA4613	Beta-gal reporter assay|EMSA	10913087	true
PA2206	PA2214	Beta-gal reporter assay|DNA-array expression analysis|EMSA|qRT-PCR [RNA]	23382903	true
PA2206	PA2215	Beta-gal reporter assay|DNA-array expression analysis|EMSA|qRT-PCR [RNA]	23382903	true
PA2206	PA2426	DNA-array expression analysis|EMSA|qRT-PCR [RNA]	23382903	true
PA2206	PA4881	DNA-array expression analysis|EMSA|qRT-PCR [RNA]	23382903	true
PchR	PA4227	Beta-gal reporter assay|EMSA|Site directed mutagenesis	16194235	false
PchR	PA4228	Beta-gal reporter assay|EMSA|Site directed mutagenesis	16194235	false
