locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA4201	ddlA	PA4201	protein_coding	D-alanine--D-alanine ligase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4202	nmoA	PA4202	protein_coding	hypothetical protein	false		refseq|kegg|uniprot|uniprot_especie	false
PA4203	nmoR	PA4203	protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|kegg|uniprot|uniprot_especie	false
PA4204	ppgL	PA4204	protein_coding	gluconolactonase PpgL	false		refseq|kegg|uniprot	false
PA4205	mexG	PA4205	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4206	mexH	PA4206	protein_coding	resistance-nodulation-cell division (RND) efflux membrane fusion protein	false		refseq|kegg|uniprot	false
PA4207	mexI	PA4207	protein_coding	resistance-nodulation-cell division (RND) efflux transporter	false		refseq|kegg|uniprot	false
PA4208	opmD	PA4208	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4209	phzM	PA4209	protein_coding	phenazine-specific methyltransferase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4210	phzA1	PA4210	protein_coding	phenazine biosynthesis protein	false		refseq|kegg|uniprot|uniprot_especie	false
PA4211	phzB1	PA4211	protein_coding	phenazine biosynthesis protein	false		refseq|kegg|uniprot|uniprot_especie	false
PA4212	phzC1	PA4212	protein_coding	phenazine biosynthesis protein PhzC	false		refseq|kegg|uniprot	false
PA4213	phzD1	PA4213|phzD	protein_coding	phenazine biosynthesis protein PhzD	false		refseq|kegg|uniprot|uniprot_especie	false
PA4214	phzE1	PA4214	protein_coding	phenazine biosynthesis protein PhzE	false		refseq|kegg|uniprot	false
PA4215	phzF1	PA4215|phzF	protein_coding	trans-2,3-dihydro-3-hydroxyanthranilate isomerase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4216	phzG1	PA4216	protein_coding	pyridoxamine 5'-phosphate oxidase	false		refseq|kegg|uniprot	false
PA4217	phzS	PA4217	protein_coding	hypothetical protein	false		refseq|kegg|uniprot|uniprot_especie	false
PA4218		PA4218	protein_coding	transporter	false		refseq|kegg|uniprot	false
PA4219		PA4219	protein_coding	hypothetical protein	false		refseq|kegg|uniprot|uniprot_especie	false
PA4220	fptB	PA4220	protein_coding	hypothetical protein	false		refseq|kegg|uniprot|uniprot_especie	false
PA4221	fptA	PA4221	protein_coding	Fe(III)-pyochelin outer membrane receptor	false		refseq|kegg|uniprot|uniprot_especie	false
PA4222		PA4222	protein_coding	ABC transporter ATP-binding protein	false		refseq|kegg|uniprot	false
PA4223		PA4223	protein_coding	ABC transporter ATP-binding protein	false		refseq|kegg|uniprot	false
PA4224	pchG	PA4224	protein_coding	pyochelin biosynthetic protein PchG	false		refseq|kegg|uniprot	false
