locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA0225			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|producto_refseq	refseq|uniprot	false
PA0226			protein_coding	CoA transferase subunit A	false		refseq|uniprot	false
PA0227			protein_coding	CoA transferase subunit B	false		refseq|uniprot	false
PA0228	pcaF		protein_coding	beta-ketoadipyl CoA thiolase	false		refseq|uniprot	false
PA0229	pcaT		protein_coding	dicarboxylic acid transporter PcaT	false		refseq|uniprot	false
PA0230	pcaB		protein_coding	3-carboxy-cis,cis-muconate cycloisomerase	false		refseq|uniprot	false
PA0231	pcaD		protein_coding	3-oxoadipate enol-lactonase	false		refseq|uniprot	false
PA0232	pcaC		protein_coding	4-carboxymuconolactone decarboxylase	false		refseq|uniprot	false
PA0233			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0234			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0235	pcaK		protein_coding	4-hydroxybenzoate transporter PcaK	false		refseq|uniprot	false
PA0236			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0237			protein_coding	oxidoreductase	false		refseq|uniprot	false
PA0238			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0239			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0240			protein_coding	porin	false		refseq|uniprot	false
PA0241			protein_coding	major facilitator superfamily transporter	false		refseq|uniprot	false
PA0242	quiC1		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0243			protein_coding	transcriptional regulator	true	go_0003700|producto_refseq	refseq|uniprot	false
PA0244	aroE		protein_coding	shikimate 5-dehydrogenase	false		refseq|uniprot	false
PA0245	aroQ2		protein_coding	3-dehydroquinate dehydratase	false		refseq|uniprot	false
PA0246			protein_coding	major facilitator superfamily transporter	false		refseq|uniprot	false
PA0247	pobA		protein_coding	4-hydroxybenzoate 3-monooxygenase	false		refseq|uniprot	false
PA0248			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0249			protein_coding	acetyltransferase	false		refseq|uniprot	false
PA0250			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0251			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0252			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0253			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0254	hudA		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0255			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0256			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0257			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0258			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0259	tla3		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0260	tle3		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0261	tli3		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0262	vgrG2b		protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0263	hcpC		protein_coding	secreted protein Hcp	false		refseq	false
PA0263.1			tRNA	tRNA-Arg	false		refseq	false
PA0265	gabD	davD	protein_coding	glutarate-semialdehyde dehydrogenase DavD	false		refseq|uniprot	false
PA0266	davT		protein_coding	5-aminovalerate aminotransferase DavT	false		refseq|uniprot	false
PA0267			protein_coding	hypothetical protein	true	go_0006355	refseq|uniprot	false
PA0268			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0269			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0270			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0271			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0272			protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0273			protein_coding	major facilitator superfamily transporter	false		refseq|uniprot	false
PA0274			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0275			protein_coding	transcriptional regulator	true	go_0003700|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
PA0276			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0277			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0278			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0279			protein_coding	transcriptional regulator	true	go_0003700|producto_refseq	refseq|uniprot	false
PA0280	cysA		protein_coding	sulfate.thiosulfate ABC transporter ATP-binding protein CysA	false		refseq|uniprot	false
PA0281	cysW		protein_coding	sulfate transporter CysW	false		refseq|uniprot	false
PA0282	cysT		protein_coding	sulfate transporter CysT	false		refseq|uniprot	false
PA0283	sbp		protein_coding	sulfate-binding protein	false		refseq|uniprot	true
PA0284			protein_coding	hypothetical protein	false		refseq|uniprot	false
PA0285			protein_coding	hypothetical protein	true	go_0006355	refseq|uniprot	false
PA0286	desA		protein_coding	delta-9 fatty acid desaturase DesA	false		refseq|uniprot	false
PA0287	gpuP		protein_coding	3-guanidinopropionate transporter	false		refseq|uniprot	false
PA0288	gpuA		protein_coding	guanidinopropionase	false		refseq|uniprot	false
PA0289	gpuR		protein_coding	transcriptional activator GpuR	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|uniprot	false
