tf	blanco	experimento	pmids
ArgR	PA0888	Beta-gal reporter assay [PMID: 9791103]|EMSA [PMID: 9791103]	
ArgR	PA0889	Beta-gal reporter assay [PMID: 9791103]|EMSA [PMID: 9791103]	
ArgR	PA0890	Beta-gal reporter assay [PMID: 9791103]|EMSA [PMID: 9791103]	
ArgR	PA0891	Beta-gal reporter assay [PMID: 9791103]|EMSA [PMID: 9791103]	
ArgR	PA0892	Beta-gal reporter assay [PMID: 9791103]|EMSA [PMID: 9791103]	
ArgR	PA0893	Beta-gal reporter assay [PMID: 9791103]|EMSA [PMID: 9791103]	
ArgR	PA0958	DNAse footprinting [PMID: 10464217]|EMSA [PMID: 10464217]|RNA dot blot [PMID: 10464217]	
ArgR	PA1971	Beta-gal reporter assay [PMID: 15175299]|DNA-array expression analysis [PMID: 15175299]|EMSA [PMID: 15175299]	
ArgR	PA2042	Beta-gal reporter assay [PMID: 15175299]|DNA-array expression analysis [PMID: 15175299]|EMSA [PMID: 15175299]	
ArgR	PA3525	Beta-gal reporter assay [PMID: 15175299]|DNA-array expression analysis [PMID: 15175299]|EMSA [PMID: 15175299]	
ArgR	PA3862	Beta-gal reporter assay [PMID: 19850617]|EMSA [PMID: 19850617]|Site directed mutagenesis [PMID: 19850617]	
ArgR	PA3863	Beta-gal reporter assay [PMID: 19850617]|EMSA [PMID: 19850617]|Site directed mutagenesis [PMID: 19850617]	
ArgR	PA3864	Beta-gal reporter assay [PMID: 19850617]|EMSA [PMID: 19850617]|Site directed mutagenesis [PMID: 19850617]	
ArgR	PA3934	DNA-array expression analysis [PMID: 15175299]|EMSA [PMID: 15175299]	
ArgR	PA4588	Beta-gal reporter assay [PMID: 15175298]|DNAse footprinting [PMID: 15175298]|EMSA [PMID: 15175298]	
ArgR	PA5035	Beta-gal reporter assay [PMID: 15175298]|DNAse footprinting [PMID: 15175298]|EMSA [PMID: 15175298]	
ArgR	PA5036	Beta-gal reporter assay [PMID: 15175298]|DNAse footprinting [PMID: 15175298]|EMSA [PMID: 15175298]	
ArgR	PA5152	Beta-gal reporter assay [PMID: 15175299]|DNA-array expression analysis [PMID: 15175299]|EMSA [PMID: 15175299]	
ArgR	PA5153	Beta-gal reporter assay [PMID: 15175299]|DNA-array expression analysis [PMID: 15175299]|EMSA [PMID: 15175299]	
ArgR	PA5154	Beta-gal reporter assay [PMID: 15175299]|DNA-array expression analysis [PMID: 15175299]|EMSA [PMID: 15175299]	
ArgR	PA5155	Beta-gal reporter assay [PMID: 15175299]|DNA-array expression analysis [PMID: 15175299]|EMSA [PMID: 15175299]	
ArgR	PA5170	DNAse footprinting [PMID: 10198009]|EMSA [PMID: 10198009]|Site directed mutagenesis [PMID: 10198009]	
